video_id,video_comment,video_comment_final,ratio,rank_vc,rank_vf,cutoff_rank
wXZAYekSNIU,4736,3,0.000633,170,465,1656
WtbfFFmpSnc,1616,1,0.000619,476,680,1656
KC9TmTus1Cc,1629,1,0.000614,472,628,1656
NAo5COYVFig,1630,1,0.000613,471,639,1656
8XXk11QIsVo,3265,2,0.000613,258,476,1656
ESvTX489JuY,1640,1,0.000610,468,610,1656
Oo72JacVFbE,1645,1,0.000608,466,644,1656
AtKdV0LoHr8,3359,2,0.000595,254,479,1656
xOArhnjwICw,1728,1,0.000579,444,774,1656
UFHB5LQrtBQ,1739,1,0.000575,441,667,1656
IgZQKPyfADk,3514,2,0.000569,247,489,1656
UaG723EA8m4,1800,1,0.000556,428,669,1656
rPbhp5AKzSc,3647,2,0.000548,232,542,1656
6p2OcdkjX7o,1824,1,0.000548,425,579,1656
Z6i2A1fBOqs,1862,1,0.000537,416,688,1656
1oNKV-63y6A,1940,1,0.000515,404,559,1656
i5nF4ukLmuM,4062,2,0.000492,211,530,1656
hbmsXKuHnCk,8235,4,0.000486,84,416,1656
qAnvmCWTBAo,6208,3,0.000483,119,459,1656
9UO7xeWUOCA,4276,2,0.000468,200,477,1656
-M8zj0HpWqo,4410,2,0.000454,191,468,1656
jz6aRglzyZo,2227,1,0.000449,357,738,1656
AXA8jTk1tFc,15614,7,0.000448,35,348,1656
t2zClnV0Qlg,2232,1,0.000448,355,760,1656
2u9r_YSqbOM,2316,1,0.000432,347,567,1656
w6uvYEoC-LU,6987,3,0.000429,102,464,1656
k5RSY3aG9ew,2341,1,0.000427,343,739,1656
wphh9U97TQc,2364,1,0.000423,338,771,1656
8ICBuCtcOqo,2462,1,0.000406,330,586,1656
W3Xw-wDVj5E,15198,6,0.000395,37,376,1656
z8acUAG_IoY,5209,2,0.000384,157,550,1656
u2I--Zlo5UA,7955,3,0.000377,86,463,1656
LY0Ll7LRYDI,5337,2,0.000375,152,499,1656
LeKOb1_-13I,2683,1,0.000373,304,634,1656
zYXyqxIw3Xg,2693,1,0.000371,303,778,1656
GkB3IxcZFKA,2705,1,0.000370,299,617,1656
5rLuJftmhro,2879,1,0.000347,281,576,1656
QQw_eox2sDE,2915,1,0.000343,278,649,1656
DAMAuOvWsyo,2951,1,0.000339,274,605,1656
AGnWzUU_FRU,5926,2,0.000337,129,478,1656
2SznaLQzXC4,3003,1,0.000333,268,565,1656
2gsx_ZpsfdA,9077,3,0.000331,78,428,1656
F-sXsYNQYbs,6061,2,0.000330,124,484,1656
9CLWYPd1aA0,9272,3,0.000324,76,431,1656
F1gGsoSj5sI,6321,2,0.000316,117,485,1656
1pmwjJ1h02Q,3167,1,0.000316,262,560,1656
Nx-suJ5LfDA,3474,1,0.000288,250,642,1656
YS0DGi1qZXw,3526,1,0.000284,246,686,1656
WejXfLIIxlM,3538,1,0.000283,242,677,1656
iRDKYYgynW4,10823,3,0.000277,63,450,1656
sHC3Rm2tg1c,3641,1,0.000275,233,757,1656
PPU_r3bz-V0,11148,3,0.000269,60,441,1656
QG1i1OoEUiA,3737,1,0.000268,225,648,1656
s3mRDRr9aRQ,3781,1,0.000264,223,756,1656
r7rfqkd4mbs,3826,1,0.000261,222,753,1656
d6T5g4BZiQA,3840,1,0.000260,220,711,1656
fOQ3rC0N7mw,3861,1,0.000259,219,719,1656
o3dknP3jclw,4005,1,0.000250,214,745,1656
ssKJYCw7Z7c,4213,1,0.000237,205,759,1656
YN4J1_mtRSk,4311,1,0.000232,199,684,1656
LIkcJGvqOKA,4322,1,0.000231,197,633,1656
iwy8c60fi4U,4531,1,0.000221,179,735,1656
f2tFSGOYISc,9274,2,0.000216,75,526,1656
Ue8aojZiYcE,4699,1,0.000213,173,670,1656
RlJanyHixGU,4768,1,0.000210,167,657,1656
XJk16VjZX0k,4988,1,0.000200,163,682,1656
CuEnWT5Dqoc,10491,2,0.000191,66,480,1656
OjZsDfIMLm4,5261,1,0.000190,155,643,1656
w7JBHSx5ScA,5390,1,0.000186,150,768,1656
B__PTWZ90wE,5691,1,0.000176,138,600,1656
5FvamZEkIRc,5724,1,0.000175,134,574,1656
Wt1Xoe3tkdw,5936,1,0.000168,128,679,1656
6c5b4DvdHus,6015,1,0.000166,126,578,1656
Klim5qgKmac,12033,2,0.000166,55,496,1656
8LrOQFE_vgo,6071,1,0.000165,122,587,1656
EXcprHxo53g,6165,1,0.000162,121,612,1656
45352pFQxmE,6184,1,0.000162,120,571,1656
JcQNKYFoYpc,6466,1,0.000155,115,626,1656
sIkIzcYpouA,13148,2,0.000152,47,544,1656
83LYnrz6_0A,6807,1,0.000147,106,585,1656
Pl7FpLlWfX4,6907,1,0.000145,103,646,1656
vcClyeTBL1c,7119,1,0.000140,100,767,1656
f4-l7r8jvvk,7858,1,0.000127,89,717,1656
ZXBu_RZB8R8,16202,2,0.000123,34,517,1656
XqZr2yFjIks,16247,2,0.000123,33,516,1656
RcIRFRP2N9U,16342,2,0.000122,32,509,1656
w3_KYOIzb_A,16981,2,0.000118,31,549,1656
AVwZsRS5KLg,9174,1,0.000109,77,596,1656
znJIT35z2T4,36875,4,0.000108,11,427,1656
5-YSDm-6MUk,29092,3,0.000103,18,429,1656
a5RAx7qNaAE,68737,7,0.000102,5,355,1656
E-NVpJTTfP8,10411,1,0.000096,67,608,1656
G48bCFHbc58,10800,1,0.000093,65,615,1656
nzBnoBajQGk,33273,3,0.000090,12,455,1656
dZv6R9sTU1c,13583,1,0.000074,45,712,1656
RZsYOEcTUt4,30896,1,0.000032,14,655,1656
X0rg7mZZtIY,264939,4,0.000015,1,413,1656
-KPvX0KbMT0,4226,0,0.000000,204,785,1656
-MqyhrKR1XU,254,0,0.000000,1329,787,1656
-OpwhtYwY4o,539,0,0.000000,974,788,1656
-TZp0xMfTww,1060,0,0.000000,660,789,1656
-ZLqv4OAgOg,205,0,0.000000,1419,792,1656
-__xXKyylrk,380,0,0.000000,1148,793,1656
-a_vVFM0Bgk,160,0,0.000000,1524,794,1656
-adUE-n_pXc,168,0,0.000000,1501,795,1656
-bHg-QdNLvE,212,0,0.000000,1404,796,1656
-e7JrBSfjYY,605,0,0.000000,915,797,1656
-gkq_srdhZA,836,0,0.000000,775,798,1656
-hOr1jufCb0,532,0,0.000000,984,800,1656
-ixTF6I8lNE,1351,0,0.000000,546,801,1656
-lHesyZaAp4,295,0,0.000000,1268,802,1656
-lk5QDhFZ0E,322,0,0.000000,1229,803,1656
-nAU3eSx_BM,4255,0,0.000000,202,804,1656
-qSguUkOjAk,948,0,0.000000,710,805,1656
-rES2ygxrvo,195,0,0.000000,1446,806,1656
-rGoz96a7WY,2549,0,0.000000,322,807,1656
