video_id,video_comment,video_comment_final
9MeAP4adUPE,43,0
9Q6cXyjemqA,5562,0
9QAI2YHWSZ4,1188,1
9QQTQuBtxKg,1542,136
9QmHur07r30,158,0
9REgV6_QrAI,224,6
9S4eApyo_zs,886,1
9UO7xeWUOCA,4276,2
9VnufzO0IZc,314,0
9W5PHg447Xg,845,1
9ZieX7ROT7E,476,0
9fAZfGLGR60,542,0
9fNUJFh49Do,2508,3
9fybsqArlng,647,6
9gt-EyGyamc,138,0
9nkAI_fd-us,362,0
9o1ea3O_GTs,2181,0
9ptngRAi39w,35,0
9q8dyxwkATk,7314,188
9s2hpbim6V8,1193,15
9snyknwSrJM,229,0
9tP5WUiJJAA,253,0
9vmyasmeXgQ,193,0
9y-XUCpFqGc,84,0
9ynWB2NzFv0,152,0
9yr0a8zJY_o,64,0
9zKZDDzuDQE,648,0
A3OzMrXOs7A,10,0
A3T4SYm37GI,1099,1
A4gFBpURj1Y,3746,149
A6phHe1uTJ4,595,0
AEfFh0SVxiI,1471,1
AFH-aqKptSU,2274,0
AFOFe_QJ4IA,214,0
AG-Ozz0pqq0,448,0
AGnWzUU_FRU,5926,2
AHu2nBZEUPQ,2829,0
AIznSWFO1og,901,0
AK3zEGUItJo,2088,73
ANLSr4Et3K8,31,0
AP6y_K_Q55I,861,0
APnLyrN6_Zk,845,0
APrLuGHV8kU,8384,644
AQ0qN5mI60E,312,0
ARRUyyQahRw,1086,59
AVwZsRS5KLg,9174,1
AX5yxShC5qY,529,1
AXA8jTk1tFc,15614,7
AYR_xAVtWiw,770,0
A_XbLcuCJ0Q,507,0
A_zeFejlG6M,20,0
AbC8_0FSEC4,423,0
AcVueQZTWOs,2418,21
AcvD8zFZodc,983,4
AcvZjCQDUMo,1320,0
AgZZbbal0qI,67,0
Ahs_5-cFVOM,624,0
AknzHoPD1Fc,200,0
AlN0lc9k0dw,2009,19
AmWQhTHQh_Q,926,0
AobVGMqDOvY,890,0
AocL7vWRDQ8,1479,52
ArSgGY8yauo,541,0
AtCtF8Z4JU8,1760,161
AtKdV0LoHr8,3359,2
At_tVGKRH6g,862,0
AuLFrFuNGNc,2540,0
AxUJr0ddQZI,2043,156
Axqjcl7zv70,3,0
Ay4hCFxeCKM,1700,186
AyJcX7ecMlw,270,1
AyXilgVzfH0,69,0
AzJ4BgxYekM,346,0
BC77H9jZZiw,797,0
BC77WPhljb4,223,0
BCQYxoEdmdI,1463,41
BDujwnZZBxc,3109,21
BE0dihDdvdk,1344,110
BF9eDj0FlLU,119,0
BIC6kxedVKk,28,0
BIIRgvpZb8s,2580,0
BJAAGFj7kFg,148,0
BK-CD70oG7Y,5394,216
BLWlKdVJhmo,684,35
BPLKNn_fjds,68,0
BQBvPypinoU,944,106
BV8CQmjr-ag,751,0
BWHEx19k63M,368,22
BWPzmgmg-is,202,1
BWoL3CHz-Hs,961,0
BZ6mmUijhCE,3407,221
BZkH5G2UJ0I,811,57
B__PTWZ90wE,5691,1
B_tba0AV6pk,4179,0
BbNbyLK6Gsc,5541,0
BbQBw-8v-i4,1295,58
BdpP9WJkv1I,2550,0
BgOlFOVDg_c,13,0
Bh74hBCG98o,377,0
BhJ9UDxI6kI,1384,0
BkdG0UGaI78,150,0
BkeHIe2kSyY,794,0
BmUcTyocGCk,69,0
Bs5H-hSw7Ro,2832,405
Btx-yPPbB4Q,267,0
C-uqntAqre4,186,4
C1e2dY1ia10,612,1
C2KKzYoP240,1725,5
C3FGGUh4gVM,15,0
C4MKcyA3_yo,70,0
C6AiozS6j7U,1348,18
C6TCjmBMIz0,751,0
C6kAyG2w3X0,140,0
CCZuLYzlZWA,4499,196
CDVzgBKeb38,417,24
CELK86ILNaU,4612,0
CIuGBF6fKwI,167,0
CMAd8QrSBrc,137,1
CWw2KH-D6Cs,40,0
CWy5zysV__c,876,0
CX5IAlu8DnI,346,0
CYz56SfpDpY,72,0
C_VlPQtKAuI,638,0
Cae2haI-zmY,1278,137
Ce7EQ3RJmAg,514,1
CjUWQh8AXak,65,0
CkLy6Gkzhvw,388,0
CmuO3I42wTY,113,0
CncwRAZvc-M,588,0
CuEnWT5Dqoc,10491,2
CwXpC-RzWV8,22,0
Cyn3zbfVKuY,97,0
D1nQF9-tOYo,27,0
D6VhB4Wj3lA,252,1
DAMAuOvWsyo,2951,1
DBq0SOgNw2E,49,0
DChrGZaD_3Y,271,0
DCmmnEL1_3Y,24,0
DDXwc0XIhoE,532,0
DGZGanNZyyY,128,0
DH67Gp1DVXI,2332,78
DMhbt60bYlI,1076,118
DNOxbhzGSjE,1157,0
DS1k1psCnbM,73,1
DSyRbDXlX6M,85,0
DT5Qm4sMPb8,1208,0
DTK7bzl5-qg,594,11
DUTw0swj13A,4243,57
DU_p_o0V_R0,174,0
DVbKmQ7Hmlk,103345,268
DXavObYFDsU,384,0
DZ4kLiOpF-U,711,0
DZVKWN2IaP0,122,0
DaYyn14MNJ0,474,0
DcbCGk_t8CY,54,1
Dcg_UuIdLHo,2,0
Dd9QTquqjM8,82,0
DeTTb0JuVxg,1118,0
DeuclmBzY4Y,77,0
Dk0-yqfl3rU,500,12
DrEsdlfi0mw,617,0
DtGnZyekixQ,735,0
DvqFdZSDsiA,1974,0
DxnRvrvSsHI,900,0
DyrKEdOT8Sk,2227,0
Dz4VkHA3AJ8,705,6
E-NVpJTTfP8,10411,1
E342vubUs5g,294,0
E4NCbzR-aBU,55,0
E5dfjAlxaxY,605,0
E6WDlZV7vFA,1753,0
E7FpYuKjYIQ,142,0
E86OMSHHu8c,7122,336
EA_rUK7utAc,8484,0
EBtjotQbwjg,469,0
ED544Luc71o,520,6
EFPyw6d3ygA,367,3
EG4xBFsoiMY,148,0
EGOtvKoqG4I,450,0
EIctJfDxHus,1467,79
EKOHq_nTcLE,436,0
ELJIbm95p_c,1940,2
EOJYrEiGWVk,22,1
EOV69Gwbbos,84,0
EPpQtg9kyHc,724,0
ERk0dnWxB14,118,0
ESvTX489JuY,1640,1
ETSTNH90t0c,70,1
EVu4_yFw6yo,225,2
EWm5EocPReM,569,0
EXOCgSJYyyQ,131,0
EXcprHxo53g,6165,1
Eb692wwOhI4,698,0
Eg9_Q1FHFuc,129,3
EkV3uq2kGL4,218,2
Ep-rXmZNcEE,12,0
Esf6NVGUaIE,47,0
