video_id,video_comment,video_comment_transformer
Ahs_5-cFVOM,624,0
AknzHoPD1Fc,200,0
AlN0lc9k0dw,2009,20
AmWQhTHQh_Q,926,0
AobVGMqDOvY,890,0
AocL7vWRDQ8,1479,0
ArSgGY8yauo,541,0
AtKdV0LoHr8,3359,1
At_tVGKRH6g,862,0
AuLFrFuNGNc,2540,1
AxUJr0ddQZI,2043,0
Axqjcl7zv70,3,0
Ay4hCFxeCKM,1700,172
AyXilgVzfH0,69,0
BC77H9jZZiw,797,0
BC77WPhljb4,223,0
BCQYxoEdmdI,1463,38
BDujwnZZBxc,3109,0
BE0dihDdvdk,1344,107
BIC6kxedVKk,28,0
BIIRgvpZb8s,2580,0
BJAAGFj7kFg,148,0
BK-CD70oG7Y,5394,0
BLWlKdVJhmo,684,53
BPLKNn_fjds,68,0
BQBvPypinoU,944,103
BV8CQmjr-ag,751,0
BWHEx19k63M,368,19
BWPzmgmg-is,202,0
BWoL3CHz-Hs,961,0
BZ6mmUijhCE,3407,236
BZkH5G2UJ0I,811,0
B__PTWZ90wE,5691,0
B_tba0AV6pk,4179,0
BbNbyLK6Gsc,5541,2
BbQBw-8v-i4,1295,58
BdpP9WJkv1I,2550,1
BhJ9UDxI6kI,1384,0
BkdG0UGaI78,150,0
BkeHIe2kSyY,794,0
BmUcTyocGCk,69,0
Bs5H-hSw7Ro,2832,270
Btx-yPPbB4Q,267,0
C-uqntAqre4,186,2
C1e2dY1ia10,612,0
C2KKzYoP240,1725,0
C3FGGUh4gVM,15,0
C4MKcyA3_yo,70,0
C6AiozS6j7U,1348,0
C6TCjmBMIz0,751,0
C6kAyG2w3X0,140,0
CCZuLYzlZWA,4499,0
CDVzgBKeb38,417,0
CIuGBF6fKwI,167,2
CMAd8QrSBrc,137,0
CWw2KH-D6Cs,40,0
CWy5zysV__c,876,0
CX5IAlu8DnI,346,0
CYz56SfpDpY,72,0
C_VlPQtKAuI,638,0
Ce7EQ3RJmAg,514,1
CjUWQh8AXak,65,0
CkLy6Gkzhvw,388,0
CmuO3I42wTY,113,0
CncwRAZvc-M,588,0
CuEnWT5Dqoc,10491,3
CwXpC-RzWV8,22,0
Cyn3zbfVKuY,97,0
D1nQF9-tOYo,27,0
D6VhB4Wj3lA,252,2
DAMAuOvWsyo,2951,1
DBq0SOgNw2E,49,0
DChrGZaD_3Y,271,0
DCmmnEL1_3Y,24,0
DDXwc0XIhoE,532,0
DGZGanNZyyY,128,0
DH67Gp1DVXI,2332,87
DMhbt60bYlI,1076,0
DNOxbhzGSjE,1157,1
DSyRbDXlX6M,85,0
DTK7bzl5-qg,594,12
DUTw0swj13A,4243,54
DVbKmQ7Hmlk,103345,0
DXavObYFDsU,384,0
